City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
588,Taunusstein,DE,50.15,8.15,45.61,87,1,1.99,clear sky
589,Ippy,CF,6.2679,21.2247,70.21,97,100,4.29,overcast clouds
590,Vernon,CA,50.2581,-119.2691,51.75,52,100,1.99,overcast clouds
591,Okhotsk,RU,59.3833,143.3,25.29,78,24,11.18,few clouds
592,Kiunga,PG,-6.1219,141.2906,76.64,92,100,1.7,overcast clouds
593,Mayo,US,38.8876,-76.5119,70.56,87,90,10.0,overcast clouds
594,Puerto Madero,MX,14.7208,-92.4215,86.2,79,75,9.22,broken clouds
595,Kupang,ID,-10.1667,123.5833,79.79,72,86,4.0,overcast clouds
596,Mizan Teferi,ET,6.9833,35.5833,61.52,90,88,3.56,overcast clouds
597,Lichinga,MZ,-13.3128,35.2406,66.34,60,81,11.74,broken clouds
598,Ambunti,PG,-4.2365,142.8448,79.39,79,98,0.63,overcast clouds
599,Galeana,MX,24.8333,-100.0667,87.31,37,0,1.61,clear sky
600,Birjand,IR,32.8663,59.2211,46.76,19,0,5.06,clear sky
601,Lafia,NG,8.4833,8.5167,74.52,93,99,2.08,overcast clouds
602,Deputatskiy,RU,69.3,139.9,20.37,83,100,3.47,overcast clouds
603,Moultrie,US,31.1799,-83.7891,77.83,69,1,0.0,clear sky
604,Pacific Grove,US,36.6177,-121.9166,81.57,76,1,3.0,clear sky
605,Manchester,GB,53.4809,-2.2374,53.78,89,87,1.99,overcast clouds
606,Shenjiamen,CN,29.9576,122.298,77.72,83,0,11.21,clear sky
607,Ossora,RU,59.2353,163.0719,35.96,62,10,0.36,clear sky
608,Havre-Saint-Pierre,CA,50.2334,-63.5986,49.01,90,94,12.21,overcast clouds
609,Sesimbra,PT,38.4445,-9.1015,72.55,66,98,4.34,overcast clouds
610,Bilma,NE,18.6853,12.9164,83.48,10,31,7.05,scattered clouds
611,Port Hardy,CA,50.6996,-127.4199,50.09,72,97,8.5,light rain
612,Beringovskiy,RU,63.05,179.3167,28.81,88,99,12.21,overcast clouds
613,Methven,NZ,-43.6333,171.65,56.91,61,100,12.35,overcast clouds
614,Colonial Heights,US,37.268,-77.4073,72.9,87,40,1.99,scattered clouds
615,Karasjok,NO,69.4719,25.5112,37.51,98,100,2.13,overcast clouds
616,Nishihara,JP,26.1842,127.7558,83.48,87,90,17.27,overcast clouds
617,Horodnytsya,UA,50.807,27.3168,37.35,60,12,5.95,few clouds
618,Novoagansk,RU,61.9449,76.6625,27.39,71,19,7.16,few clouds
619,Rocha,UY,-34.4833,-54.3333,58.77,79,100,11.79,overcast clouds
620,Igarka,RU,67.4667,86.5833,26.28,81,100,13.91,overcast clouds
621,Richards Bay,ZA,-28.783,32.0377,61.84,61,78,3.51,broken clouds
622,Adrar,MR,20.5022,-10.0711,85.55,13,89,4.03,overcast clouds
623,Siparia,TT,10.1333,-61.5,83.07,85,100,10.27,overcast clouds
624,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,100,10.96,overcast clouds
625,Stepnyak,KZ,52.8339,70.7803,30.83,79,92,7.43,overcast clouds
626,Itarema,BR,-2.9248,-39.9167,79.39,76,7,16.96,clear sky
627,Marawi,PH,7.9986,124.2928,72.64,86,91,8.16,overcast clouds
